dataset_accession,matrix_label,platform,analysis_set,classifier_id,classifier_score_name,score_status,n,n_pcr,n_rd,pcr_prevalence,n_unique_patients,raw_auc_high_score_predicts_pcr,discovery_aligned_auc,auc_ci_low_bootstrap,auc_ci_high_bootstrap,auc_bootstrap_valid_replicates,average_precision_pr_auc,pr_auc_baseline_pcr_prevalence,pr_auc_minus_pcr_prevalence,wilcoxon_p_value_aligned_score,discovery_direction_sign,performance_role,wilcoxon_q_value_aligned_score
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,253,69,184,0.2727,253,0.579080025204789,0.579080025204789,0.496512232805002,0.648338643801834,500,0.320352056532129,0.2727,0.0476247838048564,0.052893730576088,1,external_core_validation,0.0788597437679857
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,156,53,103,0.3397,156,0.541857483055505,0.541857483055505,0.442985683497537,0.643612707657579,500,0.37969064526288,0.3397,0.0399470555192907,0.393582987385554,1,external_core_validation,0.436132499535344
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,88,27,61,0.3068,88,0.515482695810565,0.515482695810565,0.388921629445823,0.665005361071957,500,0.405588824672469,0.3068,0.0987706428542874,0.821047398474357,1,external_core_validation,0.821047398474357
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,scored_preferred_coverage,110,47,63,0.4273,110,0.599797365754813,0.599797365754813,0.494886493475722,0.708486017498469,500,0.528555405064659,0.4273,0.101282677791932,0.0746661213753908,1,limited_or_subtype_exploratory,0.102043699213034
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,scored_preferred_coverage,222,80,142,0.3604,222,0.669542253521127,0.669542253521127,0.586974866918102,0.74314069888918,500,0.547260565699489,0.3604,0.186900205339128,2.78024474705571e-05,1,external_core_validation,9.50017615869973e-05
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,scored_preferred_coverage,654,214,440,0.3272,654,0.638232795242141,0.638232795242141,0.601005702403424,0.682196969291993,500,0.429312163492027,0.3272,0.102095038109764,9.40452139448414e-09,1,large_stress_test,9.63963442934624e-08
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,scored_preferred_coverage,334,105,229,0.3144,334,0.630941983780412,0.630941983780412,0.567003191585111,0.697546216693225,500,0.444665460858446,0.3144,0.130294203373416,0.000121889882619285,1,large_stress_test,0.000370184087954867
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,scored_preferred_coverage,178,26,152,0.1461,178,0.635880566801619,0.635880566801619,0.50529966890854,0.751506133952255,500,0.270830247387371,0.1461,0.124762831657034,0.0271287989419613,1,external_core_validation,0.0427800291007851
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,scored_preferred_coverage,488,99,389,0.2029,488,0.744618420710966,0.744618420710966,0.69187045244561,0.792252553271971,500,0.405366077024143,0.2029,0.202497224565126,5.49443777965172e-14,1,discovery_calibration_base,1.5018129931048e-12
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,scored_preferred_coverage,115,27,88,0.2348,115,0.72516835016835,0.72516835016835,0.617459151120612,0.8195087654816,500,0.393923724911041,0.2348,0.159141116215389,0.000420546149644734,1,external_core_validation,0.00101425836090789
