dataset_accession,matrix_label,platform,analysis_set,classifier_id,classifier_score_name,score_status,n,n_pcr,n_rd,mean_predicted_probability,observed_pcr_rate,brier_score,calibration_intercept_offset,calibration_model_intercept,calibration_slope,observed_expected_ratio,discovery_model_status,calibration_role
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,222,80,142,0.192226134403486,0.36036036036036,0.247844241061537,0.900225085412906,1.05709495238165,1.10971246516102,1.87466892302978,fit_ok,external_core_validation
GSE194040,GSE194040_GPL20078,GPL20078,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,654,214,440,0.197840971650854,0.327217125382263,0.22830625808874,0.721380092579557,0.467386784731479,0.816868506096692,1.6539401452179,fit_ok,large_stress_test
GSE194040,GSE194040_GPL30493,GPL30493,large_stress_test,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,334,105,229,0.197072749249969,0.31437125748503,0.220667027184792,0.662283620827068,0.466189197322976,0.858291051436637,1.59520409940737,fit_ok,large_stress_test
GSE20271,GSE20271_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,178,26,152,0.199848804683663,0.146067415730337,0.128999998016328,-0.400440886596452,-0.856656603755188,0.642297508515305,0.730889614083728,fit_ok,external_core_validation
GSE25066,GSE25066_GPL96,GPL96,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,488,99,389,0.202868853661696,0.202868852459016,0.151910640558565,-7.96878156925307e-09,-4.13959036717717e-16,1,0.999999994071642,fit_ok,apparent_discovery
GSE32646,GSE32646_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,115,27,88,0.203340636379481,0.234782608695652,0.167182302600502,0.198924218445938,0.460869605314074,1.21111471660807,1.15462709705252,fit_ok,external_core_validation
GSE41998,GSE41998_GPL571,GPL571,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,253,69,184,0.199744146010364,0.272727272727273,0.202784025020451,0.437494021395144,-0.376478513265776,0.405646394504656,1.36538305714913,fit_ok,external_core_validation
GSE50948,GSE50948_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,156,53,103,0.194064540004404,0.33974358974359,0.235336414650528,0.800303853013642,0.833418073953546,1.02333613210879,1.75067320251232,fit_ok,external_core_validation
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,scored_preferred_coverage,88,27,61,0.199954832602523,0.306818181818182,0.228585450791037,0.610042257020529,-0.670150442697871,0.0962831004256563,1.5344374418201,fit_ok,external_core_validation
GSE130786,GSE130786_GPL6480,GPL6480,subtype_validation_only,GENE76,Wang 76-gene weighted risk score,scored_preferred_coverage,105,44,61,0.202743872138992,0.419047619047619,0.301043685936352,1.09507888499777,-0.757959962303387,-0.298196417572314,2.06688179833292,fit_ok,limited_or_subtype_exploratory
