dataset_accession,matrix_label,platform,analysis_set,classifier_id,classifier_score_name,n_genes_required,n_genes_available,coverage_pct,n_samples,n_scores_nonmissing,n_scores_missing,n_unique_patients,score_mean,score_sd,score_min,score_median,score_max,score_status_values
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,99,87,87.9,88,88,0,88,2.92808047428512e-16,1.12090699736571,-3.18858298390834,0.164628894044208,2.39528421898313,scored_preferred_coverage
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,58,48,82.8,88,88,0,88,-1.25412160188443e-16,0.22112306192994,-0.43880837565251,0.00422625381252656,0.538429865579326,scored_preferred_coverage
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,ENDOPREDICT_11,EndoPredict approximate weighted expression score,8,8,100,88,88,0,88,-1.08311797031302e-16,0.594082544589278,-1.69717314935128,0.136689284090968,1.23204664144216,scored_preferred_coverage
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,IFNG_18,IFN-gamma 18-gene mean z score,18,18,100,88,88,0,88,-1.01836769170509e-16,0.795520458476736,-1.36181329148931,-0.0204448554645722,2.10306881403275,scored_preferred_coverage
GSE66305,GSE66305_GPL570,GPL570,core_full_benchmark,CYTOLYTIC_ACTIVITY_2,Cytolytic activity mean z score,2,2,100,88,88,0,88,1.29140799222256e-16,0.944565881957764,-1.95168376426674,-0.0915064524132097,2.70260377282282,scored_preferred_coverage
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,PAM50,PAM50 non-luminal affinity score,50,48,96,222,222,0,222,-0.0360908020482489,0.561647952490862,-1.25564481111594,0.0407077724706904,0.801780286582718,scored_preferred_coverage
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,MAMMAPRINT_70,MammaPrint approximate poor-prognosis score,51,43,84.3,222,222,0,222,-3.76931187713654e-18,0.485526291848551,-1.11628402481785,-0.039274500439585,1.13682236874893,scored_preferred_coverage
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,ONCOTYPE_DX_21,OncotypeDX approximate weighted expression score,16,16,100,222,222,0,222,6.73464144733617e-17,0.542911960699446,-1.14770247213479,0.0607319198726154,1.37222716892518,scored_preferred_coverage
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,GGI_128_PROBE,GGI grade-3 minus grade-1 expression score,99,90,90.9,222,222,0,222,-8.88098325485581e-17,0.876728475572817,-2.22768321983103,0.126019840535269,2.07962773436948,scored_preferred_coverage
GSE163882,GSE163882_GPL18573,GPL18573,core_full_benchmark,GENE76,Wang 76-gene weighted risk score,58,49,84.5,222,222,0,222,1.05353805360941e-17,0.219206395123277,-0.663497338094985,0.0105971561049489,0.67299742715313,scored_preferred_coverage
